,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
66,7370 ELOUGES,House,50000,1.0,72.0,,0.0,,,,,,72.0,,, To renovate,
67,7600 Pruwelz,House,50000,3.0,,,,,,,,,,318.0,2.0, To renovate,
68,7340 Colfontaine,House,50000,2.0,100.0,,,,,,,,100.0,443.0,3.0, To renovate,
69,7134 Leval-Trahegnies,House,50000,3.0,,,,,,,,,,320.0,2.0, To renovate,
70,7340 Wasmes,House,50000,2.0,92.0,,0.0,,,,,,92.0,170.0,2.0,,
71,8930 Menen,House,50000,2.0,,,,,,,,,,183.0,, To renovate,
72,7700 Mouscron,House,50000,2.0,,Not installed,,,,,,,,153.0,2.0, To renovate,
73,2180 Ekeren,House,50000,2.0,,,,,,,,,,110.0,2.0, To renovate,
74,7380 Quivrain,House,50000,6.0,,,,,,,,,,280.0,2.0,,
75,5660 Couvin,House,50000,4.0,166.0,Not installed,0.0,,1.0,24.0,,,166.0,143.0,1.0,,
76,6971 Champlon,House,50000,3.0,,,,,,,,,,850.0,4.0, To renovate,
77,5300 Andenne,House,50000,1.0,,,,,,,,,,450.0,,,
78,6690 Bihain,House,50000,3.0,,,,,,,,,,,, To renovate,
79,5621 Hanzinelle,House,50000,2.0,,Installed,,,,,,,,131.0,2.0, To be done up,
80,6030 Marchienne-au-Pont,House,50000,2.0,,,,,,,,,,354.0,,,
81,1930 Zaventem,House,50000,3.0,,,,,,,,,,190.0,,,
82,6060 Gilly,House,50000,2.0,,,,,,,,,,215.0,2.0, To be done up,
83,7110 Houdeng-Aimeries,House,50000,2.0,,,,,,,,,,288.0,2.0, To renovate,
84,4870 Nessonvaux,House,50000,2.0,80.0,,0.0,,,,,,80.0,80.0,3.0, To restore,
85,4671 Housse,House,50000,4.0,,Installed,,,,,1.0,1235.0,,1385.0,3.0, As new,
86,6150 Anderlues,House,50000,1.0,79.0,,,,,,,,79.0,363.0,, To renovate,
87,7602 Bury,House,50000,2.0,,,,,,,,,,580.0,2.0, To renovate,
88,7971 Bascles,House,50000,3.0,,,,,,,,,,188.0,2.0, To renovate,
89,7340 PTURAGES,House,50000,2.0,,Not installed,0.0,,,,,,,170.0,,,
90,5651 Thy-le-Chateau,House,50000,3.0,100.0,Installed,0.0,,,,,,100.0,,3.0,,
91,6041 Gosselies,House,50000,2.0,78.0,,,,,,,,78.0,,2.0, To renovate,
92,7130 Binche,House,50000,3.0,,,,,,,,,,75.0,,,
93,7600 Pruwelz,House,50000,3.0,147.0,Installed,0.0,,,,,,147.0,170.0,4.0,,
94,7012 Jemappes,House,50000,3.0,,,,,,,,,,,,,
95,7110 Houdeng-Aimeries,House,50000,2.0,80.0,,,,,,,,80.0,425.0,, To renovate,
96,7191 Ecaussinnes,House,51000,1.0,,Installed,,,,,,,,87.0,,,
