,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
3423,1180 Ukkel,Mansion,2800000,6.0,750.0,Hyper equipped,0.0,,1.0,1.0,,,750.0,284.0,3.0, As new,
3424,2830 Willebroek,Apartment block,2800000,36.0,1875.0,Installed,0.0,,,,,,1875.0,389.0,3.0, Good,
3425,9690 Kluisbergen,Exceptional property,2800000,14.0,1150.0,Installed,0.0,,,,,,1150.0,1450.0,,,
3426,9690 Kluisbergen,Villa,2800000,14.0,1150.0,,1.0,,,,,,1150.0,1450.0,,,
3427,2020 Antwerp,Villa,2800000,7.0,658.0,Semi equipped,0.0,,,,,,658.0,2800.0,4.0, To renovate,
3428,6662 Tavigny,Castle,2800000,10.0,1367.0,,0.0,,,,,,1367.0,17338.0,, Good,
3429,1083 Ganshoren,Apartment block,2800000,9.0,835.0,,,,,,1.0,242.0,835.0,432.0,2.0, As new,
3430,1150 WOLUWE-SAINT-PIERRE,Apartment block,2800000,11.0,830.0,Installed,0.0,,1.0,25.0,1.0,1440.0,830.0,1988.0,4.0, To be done up,
3431,8000 Brugge,Mansion,2800000,3.0,439.0,,0.0,,,,,,439.0,735.0,2.0, As new,
3432,8300 Knokke-Heist,Ground floor,2795000,3.0,105.0,Hyper equipped,,,,,1.0,150.0,105.0,,2.0, As new,
3433,8300 Knokke-Heist,Penthouse,2795000,3.0,226.0,Hyper equipped,0.0,,1.0,28.0,,,226.0,,2.0, As new,
3434,8300 Knokke,Apartment,2795000,3.0,95.0,,,,,,,,95.0,,,,
3435,1180 Uccle,Villa,2750000,7.0,,Hyper equipped,,,,,,,,2600.0,4.0, As new,
3436,1970 Wezembeek-Oppem,Villa,2750000,9.0,478.0,Installed,0.0,,1.0,30.0,,,478.0,8000.0,4.0, To be done up,
3437,1380 Lasne Maransart,House,2750000,7.0,800.0,Hyper equipped,0.0,,,,1.0,14527.0,800.0,15327.0,4.0, As new,
3438,1970 Wezembeek-Oppem,Villa,2750000,7.0,475.0,Installed,0.0,,,,1.0,7700.0,475.0,7925.0,4.0, Good,
3439,1050 Ixelles,Mansion,2750000,6.0,668.0,Hyper equipped,,,,,,,668.0,870.0,2.0, As new,
3440,1190 Forest,Mansion,2750000,6.0,420.0,Hyper equipped,,,,,,,420.0,870.0,2.0, As new,
3441,1190 Forest,Mansion,2750000,6.0,530.0,Hyper equipped,0.0,,1.0,30.0,1.0,685.0,530.0,845.0,2.0, As new,
3442,1380 Lasne,Villa,2750000,7.0,680.0,Hyper equipped,,,,,,,680.0,10500.0,4.0, As new,
3443,1380 LASNEWATERLOO,House,2750000,7.0,800.0,,,,,,,,800.0,15000.0,4.0, As new,
3444,1050 Ixelles,Exceptional property,2750000,6.0,668.0,Hyper equipped,0.0,,1.0,30.0,1.0,500.0,668.0,690.0,2.0, As new,
3445,1380 Lasne,Exceptional property,2750000,7.0,680.0,Hyper equipped,0.0,,1.0,200.0,,,680.0,15300.0,4.0, As new,
3446,1380 Lasne,Exceptional property,2750000,7.0,620.0,,0.0,,,,,,620.0,15000.0,4.0, As new,
3447,2930 Brasschaat,Villa,2750000,5.0,750.0,Hyper equipped,0.0,,,,1.0,150.0,750.0,,4.0, Just renovated,
3448,2430 Laakdal,Mansion,2750000,10.0,600.0,,0.0,,,,,,600.0,3171.0,, Good,
3449,2930 Brasschaat,Villa,2750000,5.0,750.0,,0.0,,,,,,750.0,13000.0,4.0, As new,
3450,2970 Schilde,Villa,2750000,6.0,1085.0,Hyper equipped,,,,,,,1085.0,9084.0,4.0,,
3451,1180 Uccle,Mansion,2750000,7.0,500.0,Hyper equipped,,,,,,,500.0,2600.0,4.0,,
3452,1640 RHODE-SAINT-GENESE,Villa,2740000,5.0,620.0,USA installed,,,,,,,620.0,2720.0,4.0, As new,
3453,1050 Ixelles,Duplex,2700000,5.0,557.0,Hyper equipped,,,1.0,50.0,1.0,60.0,557.0,,2.0, As new,
3454,1050 Ixelles,Triplex,2700000,5.0,566.0,Hyper equipped,0.0,,1.0,50.0,1.0,100.0,566.0,,2.0, Good,
3455,1400 Nivelles,Apartment block,2700000,,989.0,Installed,0.0,,,,,,989.0,,2.0,,
3456,1560 Hoeilaart,Exceptional property,2700000,16.0,975.0,USA installed,0.0,,1.0,40.0,1.0,10000.0,975.0,10002.0,4.0, Good,
3457,8310 Brugge Assebroek,Exceptional property,2699000,4.0,,USA hyper equipped,1.0,,1.0,100.0,1.0,4000.0,,4997.0,4.0, Good,
3458,8310 Brugge,Country house,2699000,4.0,272.0,,0.0,,,,,,272.0,4997.0,4.0, As new,
3459,1000 Bruxelles,Apartment block,2685000,10.0,648.0,Installed,,,1.0,54.0,,,648.0,400.0,3.0, As new,
