,Unnamed: 0,locality,proprety_type,price,bedrooms,area,equipped_kitchen,furnished,open_fire,terrace,terrace_area,garden,garden_area,surface,surface_plot,facades,state,swimming_pool
40,40,5540 Hastiere,Chalet,44900,1.0,25.0,Installed,0.0,0.0,0.0,,1.0,225.0,25.0,250.0,4.0, Just renovated,0.0
41,41,6040 Jumet,House,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,250.0,3.0, To renovate,0.0
42,42,5600 MERLEMONT,Other properties,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,831.0,2.0,Good,0.0
43,43,5600 MERLEMONT,Other properties,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,890.0,2.0,Good,0.0
44,44,7380 Quivrain,House,45000,2.0,100.0,Installed,0.0,0.0,0.0,,0.0,,100.0,80.0,2.0,Good,0.0
45,45,6001 Marcinelle,Apartment,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
46,46,6040 Jumet,House,45000,2.0,60.0,Installed,0.0,0.0,0.0,,0.0,,60.0,332.0,2.0,Good,0.0
47,47,6040 Jumet,House,45000,1.0,70.0,Installed,0.0,0.0,0.0,,0.0,,70.0,70.0,2.0,Good,0.0
48,48,7190 Ecaussinnes,Transversale,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
49,49,5575 Willerzie,House,45000,2.0,150.0,Installed,0.0,0.0,0.0,,0.0,,150.0,250.0,2.0, To renovate,0.0
50,50,6030 Marchienne-au-Pont,House,45000,3.0,100.0,Not installed,0.0,0.0,0.0,,0.0,,100.0,340.0,2.0,Good,0.0
51,51,5650 Yves-Gomeze,House,45000,1.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,1101.0,3.0, To restore,0.0
52,52,6044 Roux,House,45000,4.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,184.0,3.0, To be done up,0.0
53,53,6500 Beaumont,House,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,1.0,270.0,201.43684820393975,310.0,4.0, To restore,0.0
54,54,7340 WASMES,House,45000,2.0,201.43684820393975,Not installed,0.0,0.0,0.0,,0.0,,201.43684820393975,155.0,2.0,Good,0.0
55,55,7301 Hornu,House,45000,3.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
56,56,6020 Dampremy,House,45000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
57,57,6560 Erquelinnes,House,45000,2.0,95.0,Installed,0.0,0.0,0.0,,0.0,,95.0,95.0,2.0,Good,0.0
58,58,4260 Ville-en-Hesbaye,House,46000,5.0,341.0,Semi equipped,0.0,0.0,1.0,11.0,1.0,950.0,341.0,1345.0,4.0, To be done up,0.0
59,59,7100 La Louviere,House,46000,2.0,63.0,Installed,0.0,0.0,0.0,,0.0,,63.0,35.0,2.0, To renovate,0.0
60,60,4570 Marchin,Marchin - Rue Vico del Ga,47000,2.0,201.43684820393975,Installed,0.0,0.0,0.0,,0.0,,201.43684820393975,201.43684820393975,2.0,Good,0.0
61,61,7390 Quaregnon,House,49000,2.0,102.0,Not installed,0.0,0.0,0.0,,0.0,,102.0,330.0,3.0, To restore,0.0
